b,组,t*,bounds,S
52,2,17.5,34.5,0.4319
53,1,17.5,35.2,0.4261
53,2,18.0,35.2,0.4616
54,1,17.5,33.5,0.4479
54,2,18.0,33.5,0.4772
55,1,17.5,33.6,0.4473
55,2,18.0,33.6,0.4691
56,1,17.5,33.8,0.4385
56,2,18.0,33.8,0.4578
57,1,17.5,33.8,0.4336
57,2,18.0,33.8,0.4556
58,1,17.5,31.5,0.4445
58,2,18.0,31.5,0.4601
59,1,17.5,31.7,0.443
59,2,18.0,31.7,0.4619
60,1,17.5,31.8,0.4414
60,2,18.0,31.8,0.4591
61,1,18.0,33.5,0.4514
61,2,18.5,33.5,0.4923
62,1,17.5,30.5,0.4438
62,2,18.0,30.5,0.4591
63,1,17.5,33.5,0.4372
63,2,18.0,33.5,0.4593
64,1,18.0,33.7,0.451
64,2,18.0,33.7,0.481
65,1,17.5,31.1,0.4261
65,2,17.5,31.1,0.4395
66,1,17.5,35.6,0.4307
66,2,18.0,35.6,0.4664
67,1,18.0,33.8,0.4517
67,2,18.0,33.8,0.4819
68,1,17.5,33.8,0.4352
68,2,18.0,33.8,0.4537
69,1,17.5,33.7,0.4334
69,2,18.0,33.7,0.4593
70,1,17.5,30.7,0.445
70,2,18.0,30.7,0.4612
71,1,17.5,31.5,0.4478
71,2,18.0,31.5,0.4623
72,1,17.5,31.7,0.4445
72,2,18.0,31.7,0.4642
73,1,17.5,33.4,0.445
73,2,18.0,33.4,0.4611
74,1,17.5,33.8,0.4374
74,2,18.0,33.8,0.4559
75,1,17.5,33.4,0.4452
75,2,18.0,33.4,0.4662
76,1,17.5,33.4,0.4454
76,2,18.0,33.4,0.4716
77,1,17.5,34.6,0.4201
77,2,18.0,34.6,0.4582
78,1,17.5,33.9,0.4367
78,2,18.0,33.9,0.4647
79,1,17.5,31.5,0.4483
79,2,18.0,31.5,0.4701
80,1,17.5,33.8,0.4265
80,2,17.5,33.8,0.4485
81,1,17.5,33.8,0.4156
81,2,17.5,33.8,0.4392
82,1,17.5,31.8,0.4391
82,2,18.5,31.8,0.4796
83,1,17.5,32.0,0.4441
83,2,18.0,32.0,0.4685
84,1,17.5,33.4,0.4392
84,2,18.0,33.4,0.4623
85,1,17.5,33.8,0.439
85,2,18.0,33.8,0.4627
86,1,17.5,33.4,0.4186
86,2,17.5,33.4,0.4344
87,1,17.5,31.7,0.4404
87,2,18.0,31.7,0.4602
88,1,17.5,33.8,0.4303
88,2,18.0,33.8,0.4511
89,1,17.5,33.8,0.4309
89,2,18.0,33.8,0.4545
90,1,17.5,31.5,0.4456
90,2,18.0,31.5,0.4721
91,1,18.0,33.7,0.4535
91,2,18.5,33.7,0.4864
92,1,17.5,33.5,0.4447
92,2,18.0,33.5,0.4672
93,1,17.5,33.7,0.4431
93,2,18.0,33.7,0.4611
94,1,17.5,32.0,0.4448
94,2,18.0,32.0,0.4663
95,1,17.5,34.6,0.4332
95,2,18.0,34.6,0.4664
96,1,17.5,31.5,0.4461
96,2,18.0,31.5,0.463
97,1,17.5,33.7,0.4384
97,2,18.0,33.7,0.4599
98,1,17.5,33.9,0.4343
98,2,18.0,33.9,0.452
99,1,17.5,31.5,0.4478
99,2,18.0,31.5,0.4681
