b,组,t*,bounds,feas,方案整体可行
40,2,22.0,33.1,True,True
41,1,19.0,33.8,True,True
41,2,24.5,33.8,True,True
42,1,17.5,34.4,True,True
42,2,24.0,34.4,True,True
43,1,17.0,34.4,True,True
43,2,18.5,34.4,True,True
44,1,18.0,32.4,True,True
44,2,22.5,32.4,True,True
45,1,18.0,31.8,True,True
45,2,23.0,31.8,True,True
46,1,16.5,34.0,True,True
46,2,25.0,34.0,True,True
47,1,17.5,31.8,True,True
47,2,23.0,31.8,True,True
48,1,16.5,33.3,True,True
48,2,20.0,33.3,True,True
49,1,19.0,32.1,True,True
49,2,21.0,32.1,True,True
50,1,18.5,33.3,True,True
50,2,24.0,33.3,True,True
51,1,16.0,34.3,True,True
51,2,21.5,34.3,True,True
52,1,17.0,30.5,True,True
52,2,18.5,30.5,True,True
53,1,18.0,33.5,True,True
53,2,24.0,33.5,True,True
54,1,17.0,31.3,True,True
54,2,24.0,31.3,True,True
55,1,16.5,31.3,True,True
55,2,19.5,31.3,True,True
56,1,19.5,30.5,True,True
56,2,21.0,30.5,True,True
57,1,18.0,34.5,True,True
57,2,22.0,34.5,True,True
58,1,18.0,29.8,True,True
58,2,18.5,29.8,True,True
59,1,18.0,32.4,True,True
59,2,24.0,32.4,True,True
60,1,16.5,31.9,True,True
60,2,19.0,31.9,True,True
61,1,18.5,34.9,True,True
61,2,24.0,34.9,True,True
62,1,17.5,28.8,True,True
62,2,17.5,28.8,True,True
63,1,16.5,32.1,True,True
63,2,21.0,32.1,True,True
64,1,18.0,32.6,True,True
64,2,24.5,32.6,True,True
65,1,18.0,32.0,True,True
65,2,21.0,32.0,True,True
66,1,17.0,34.0,True,True
66,2,24.0,34.0,True,True
67,1,16.5,34.0,True,True
67,2,24.5,34.0,True,True
68,1,17.5,32.6,True,True
68,2,20.5,32.6,True,True
69,1,16.0,33.8,True,True
69,2,25.0,33.8,True,True
70,1,18.5,35.6,True,True
70,2,20.0,35.6,True,True
71,1,21.5,35.0,True,True
71,2,22.5,35.0,True,True
72,1,17.5,32.0,True,True
72,2,23.0,32.0,True,True
73,1,19.5,33.2,True,True
73,2,21.5,33.2,True,True
74,1,17.0,30.5,True,True
74,2,19.5,30.5,True,True
75,1,18.5,32.3,True,True
75,2,24.0,32.3,True,True
76,1,18.0,33.1,True,True
76,2,24.5,33.1,True,True
77,1,16.5,33.5,True,True
77,2,24.0,33.5,True,True
78,1,18.0,34.2,True,True
78,2,24.5,34.2,True,True
79,1,19.0,32.4,True,True
79,2,22.5,32.4,True,True
80,1,16.5,31.7,True,True
80,2,21.0,31.7,True,True
81,1,17.0,32.7,True,True
81,2,20.0,32.7,True,True
82,1,16.0,32.6,True,True
82,2,24.0,32.6,True,True
83,1,16.5,34.9,True,True
83,2,25.0,34.9,True,True
84,1,18.0,33.3,True,True
84,2,24.5,33.3,True,True
85,1,17.0,32.9,True,True
85,2,25.0,32.9,True,True
86,1,16.5,32.1,True,True
86,2,19.0,32.1,True,True
87,1,17.0,33.2,True,True
87,2,24.0,33.2,True,True
88,1,19.0,35.0,True,True
88,2,23.5,35.0,True,True
89,1,16.5,32.0,True,True
89,2,21.0,32.0,True,True
90,1,20.0,34.5,True,True
90,2,21.0,34.5,True,True
91,1,17.0,34.0,True,True
91,2,23.5,34.0,True,True
92,1,17.5,34.8,True,True
92,2,25.0,34.8,True,True
93,1,19.0,33.8,True,True
93,2,21.5,33.8,True,True
94,1,17.0,32.5,True,True
94,2,25.0,32.5,True,True
95,1,17.0,33.4,True,True
95,2,24.0,33.4,True,True
96,1,18.0,33.3,True,True
96,2,19.5,33.3,True,True
97,1,17.5,29.1,True,True
97,2,19.5,29.1,True,True
98,1,17.0,33.8,True,True
98,2,18.0,33.8,True,True
99,1,18.5,30.1,True,True
99,2,20.5,30.1,True,True
100,1,17.0,32.0,True,True
100,2,24.0,32.0,True,True
101,1,18.0,34.8,True,True
101,2,21.5,34.8,True,True
102,1,18.5,32.7,True,True
102,2,24.0,32.7,True,True
103,1,18.0,35.4,True,True
103,2,19.0,35.4,True,True
104,1,17.5,34.2,True,True
104,2,21.0,34.2,True,True
105,1,16.5,32.5,True,True
105,2,20.0,32.5,True,True
106,1,19.0,31.2,True,True
106,2,22.5,31.2,True,True
107,1,18.5,32.9,True,True
107,2,23.0,32.9,True,True
108,1,19.0,31.8,True,True
108,2,24.5,31.8,True,True
109,1,17.0,33.2,True,True
109,2,23.5,33.2,True,True
110,1,17.5,33.3,True,True
110,2,21.0,33.3,True,True
111,1,17.0,33.2,True,True
111,2,24.5,33.2,True,True
112,1,19.0,35.3,True,True
112,2,23.0,35.3,True,True
113,1,17.5,33.9,True,True
113,2,23.5,33.9,True,True
114,1,19.0,32.4,True,True
114,2,20.5,32.4,True,True
115,1,16.5,33.2,True,True
115,2,19.5,33.2,True,True
116,1,18.0,33.3,True,True
116,2,23.5,33.3,True,True
117,1,18.5,32.5,True,True
117,2,23.0,32.5,True,True
118,1,19.0,34.3,True,True
118,2,20.5,34.3,True,True
119,1,16.0,32.0,True,True
119,2,24.5,32.0,True,True
120,1,16.0,33.1,True,True
120,2,22.0,33.1,True,True
121,1,16.5,33.8,True,True
121,2,25.0,33.8,True,True
122,1,17.0,35.3,True,True
122,2,22.5,35.3,True,True
123,1,17.0,32.0,True,True
123,2,21.5,32.0,True,True
124,1,17.0,32.9,True,True
124,2,22.0,32.9,True,True
125,1,18.0,33.1,True,True
125,2,22.5,33.1,True,True
126,1,15.5,32.7,True,True
126,2,20.0,32.7,True,True
127,1,19.0,32.0,True,True
127,2,19.5,32.0,True,True
128,1,16.0,32.9,True,True
128,2,20.0,32.9,True,True
129,1,19.0,33.4,True,True
129,2,23.0,33.4,True,True
130,1,17.5,33.4,True,True
130,2,23.5,33.4,True,True
131,1,18.0,33.3,True,True
131,2,21.5,33.3,True,True
132,1,18.0,32.9,True,True
132,2,20.0,32.9,True,True
133,1,18.0,33.1,True,True
133,2,20.5,33.1,True,True
134,1,18.5,33.4,True,True
134,2,22.5,33.4,True,True
135,1,16.5,31.2,True,True
135,2,25.0,31.2,True,True
136,1,17.5,35.2,True,True
136,2,20.5,35.2,True,True
137,1,16.5,35.1,True,True
137,2,25.0,35.1,True,True
138,1,18.0,32.0,True,True
138,2,22.0,32.0,True,True
139,1,18.5,32.4,True,True
139,2,21.0,32.4,True,True
140,1,17.0,34.1,True,True
140,2,19.5,34.1,True,True
141,1,17.5,33.5,True,True
141,2,21.5,33.5,True,True
142,1,17.5,31.2,True,True
142,2,22.5,31.2,True,True
143,1,17.5,33.4,True,True
143,2,23.5,33.4,True,True
144,1,16.5,31.3,True,True
144,2,19.5,31.3,True,True
145,1,17.5,33.6,True,True
145,2,22.5,33.6,True,True
146,1,16.5,31.3,True,True
146,2,24.5,31.3,True,True
147,1,18.5,31.2,True,True
147,2,21.5,31.2,True,True
148,1,17.5,34.1,True,True
148,2,22.5,34.1,True,True
149,1,16.5,33.4,True,True
149,2,25.0,33.4,True,True
150,1,18.0,34.5,True,True
150,2,23.0,34.5,True,True
151,1,16.5,32.9,True,True
151,2,24.5,32.9,True,True
152,1,17.5,35.0,True,True
152,2,23.5,35.0,True,True
153,1,19.5,34.7,True,True
153,2,25.0,34.7,True,True
154,1,17.5,33.4,True,True
154,2,24.0,33.4,True,True
155,1,19.5,33.2,True,True
155,2,22.0,33.2,True,True
156,1,17.0,33.7,True,True
156,2,19.5,33.7,True,True
157,1,17.0,31.4,True,True
157,2,22.0,31.4,True,True
158,1,20.0,33.3,True,True
158,2,21.0,33.3,True,True
159,1,17.0,32.5,True,True
159,2,19.5,32.5,True,True
160,1,19.5,28.8,True,True
160,2,19.5,28.8,True,True
161,1,17.0,33.3,True,True
161,2,21.5,33.3,True,True
162,1,18.5,33.5,True,True
162,2,25.0,33.5,True,True
163,1,17.5,32.5,True,True
163,2,25.0,32.5,True,True
164,1,16.0,31.6,True,True
164,2,20.0,31.6,True,True
165,1,18.0,32.7,True,True
165,2,24.5,32.7,True,True
166,1,14.5,31.2,True,True
166,2,17.0,31.2,True,True
167,1,17.0,31.6,True,True
167,2,20.5,31.6,True,True
168,1,16.5,31.3,True,True
168,2,19.0,31.3,True,True
169,1,18.0,33.5,True,True
169,2,21.0,33.5,True,True
170,1,16.5,32.9,True,True
170,2,20.5,32.9,True,True
171,1,17.0,32.0,True,True
171,2,21.5,32.0,True,True
172,1,18.5,33.2,True,True
172,2,23.0,33.2,True,True
173,1,17.5,32.4,True,True
173,2,21.5,32.4,True,True
174,1,18.0,34.4,True,True
174,2,22.0,34.4,True,True
175,1,19.0,31.2,True,True
175,2,20.0,31.2,True,True
176,1,19.5,33.3,True,True
176,2,24.0,33.3,True,True
177,1,17.5,33.0,True,True
177,2,25.0,33.0,True,True
178,1,18.5,35.6,True,True
178,2,21.5,35.6,True,True
179,1,18.0,34.0,True,True
179,2,22.5,34.0,True,True
180,1,17.0,33.4,True,True
180,2,23.5,33.4,True,True
181,1,17.5,32.9,True,True
181,2,25.0,32.9,True,True
182,1,17.5,33.6,True,True
182,2,23.5,33.6,True,True
183,1,17.0,33.2,True,True
183,2,23.0,33.2,True,True
184,1,17.5,33.0,True,True
184,2,23.0,33.0,True,True
185,1,18.5,30.9,True,True
185,2,22.0,30.9,True,True
186,1,20.0,33.1,True,True
186,2,22.5,33.1,True,True
187,1,18.0,34.3,True,True
187,2,25.0,34.3,True,True
188,1,19.5,28.9,True,True
188,2,19.5,28.9,True,True
189,1,16.5,33.4,True,True
189,2,24.5,33.4,True,True
190,1,16.5,32.6,True,True
190,2,25.0,32.6,True,True
191,1,17.0,32.8,True,True
191,2,21.5,32.8,True,True
192,1,15.5,31.3,True,True
192,2,24.0,31.3,True,True
193,1,18.5,30.4,True,True
193,2,25.0,30.4,True,True
194,1,19.0,28.9,True,True
194,2,19.0,28.9,True,True
195,1,17.0,32.2,True,True
195,2,25.0,32.2,True,True
196,1,18.5,33.4,True,True
196,2,23.5,33.4,True,True
197,1,20.0,29.8,True,True
197,2,20.5,29.8,True,True
198,1,18.0,33.1,True,True
198,2,22.0,33.1,True,True
199,1,17.5,31.2,True,True
199,2,18.5,31.2,True,True
